album,title,artists,composers,time,date
Suspicious,Fever,Lou Canon,Lou Canon,10:42pm,2017-05-26
Modern Thought,Nails,Fitness Club Fiasco,Mike Harloff,10:47pm,2017-05-26
After The Glow (Single),After The Glow,Jesse Mac Cormack,Jesse Mac Cormack,10:52pm,2017-05-26
The Wolf (Single),The Wolf,Chersea,Chersea,10:56pm,2017-05-26
Ile De Sept Villes,Soixante-Sept,Hylozoists,,11:01pm,2017-05-26
Holy (Single),Holy,"Ryan Hemsworth, Ryan Playground, Swim Good Now","Ryan Hemsworth,Swim Good Now,Ryan Playground",11:06pm,2017-05-26
Vulnicura,Lionsong,"Bjork, Arca",Bjork,11:10pm,2017-05-26
Post Tropical,Cavalier,James Vincent Mcmorrow,James Vincent Mcmorrow,11:17pm,2017-05-26
Hug Of Thunder,Hug Of Thunder,Broken Social Scene,"Andrew Whiteman, Brendan Canning, Charles Spearin,Feist, Kevin Drew",11:22pm,2017-05-26
Pigeons (Single),Pigeons,Maps & Atlases,Dave Davison,11:27pm,2017-05-26
When The Time Is Right,Waves,River Tiber,"Kwikfiks,River Tiber",11:31pm,2017-05-26
The Devil's Walk,Ash Black Veil,Apparat,Apparat,11:36pm,2017-05-26
Future Politics,Beyond A Mortal,Austra,Katie Stelmanis,11:43pm,2017-05-26
Compassion,The Highest Flood,Forest Swords,Matthew Barnes,11:48pm,2017-05-26
Selfless,Empathy (Ayuko's Song),"Joni Void, Ayuko Goto, Noah","Ayuko Goto, Joni Void",11:54pm,2017-05-26
O Frontera Ep,Interlude,O Frontera,"Sebastian Cushing, Shawn Dakin, Sarah Riegler, Emily Wang",11:58pm,2017-05-26
Al Cohn Quintet Featuring Bob Brookmeyer,Lazy Man Stomp,Al Cohn,Bob Brookmeyer,10:00pm,2017-05-27
Kenny Burrell: Midnight Blue,Kenny's Sound,Kenny Burrell,Kenny Burrell,10:03pm,2017-05-27
Everybody's Talkin',There'll Be Some Changes Made,David Statham,"Billy Higgins, W. Benton Overstreet",10:09pm,2017-05-27
Across The Tracks,Intermission Riff,Scott Hamilton,Ray Wetzle,10:12pm,2017-05-27
After You've Gone,Bluesette,Lenny Solomon,"Toots Thielemans, Norman Gimbel",10:18pm,2017-05-27
Deja Jazz,Alice In Wonderland,"Michel Donato, Pierre Leduc","Lewis Carroll, Sammy Fain, Bob Hilliard",10:23pm,2017-05-27
Stan Getz & Antonio Carlos Jobim: Their Greates...,Garota De Ipanema,"Astrud Gilberto, Joao Gilberto, Stan Getz","Antonio Carlos Jobim, Vinicius De Moraes",10:28pm,2017-05-27
"A Jazz Romance, Vol 4 - In Dreams",The Nearness Of You,Stephane Grappelli,"Hoagy Carmichael, Ned Washington",10:33pm,2017-05-27
Some Fun Out Of Life,You Give Love A Bad Name (Bon Jovi),Rebecca Binnendyk,"Richie Sambora, Jon Bon Jovi, Desmond Child",10:37pm,2017-05-27
Herbie Hancock: Gershwin's World,The Man I Love,"Herbie Hancock, Joni Mitchell",George Gershwin,10:48pm,2017-05-27
Guitar Mastery Of Ed Bickert,Easy Living,Ed Bickert,"Ralph Rainger, Leo Robin",10:53pm,2017-05-27
Awake,Arrow,Folly And The Hunter,"Christopher Fox, Nick Vallee, Phil Creamer, Laurie Torres",11:00pm,2017-05-27
Play It On My Radio (Single),Play It On My Radio,Niki & The Dove,"Malin Dahlstrom, Magnus Boqvist, Gustaf Karlof",11:04pm,2017-05-27
A History Of Reasons,A History Of Reasons,Cairo,"Matt Sullivan, Nate Daniels, Nygel Asselin, Jr  Dante Berardi, Caitlin Grieve",11:08pm,2017-05-27
So There,So There,Ben Folds,Ben Folds,11:12pm,2017-05-27
Notes,The Leftovers,Johan Agebjorn,Johan Agebjorn,11:16pm,2017-05-27
Sparks,You Know Where To Find Me,Imogen Heap,Imogen Heap,11:22pm,2017-05-27
"Les Inrockuptibles: Un Printemps 2016, Vol 1",Ether,Mogwai,Mogwai,11:26pm,2017-05-27
You're The One That I Want (Single),You're The One That I Want,Fang Lo,"Louis St. Louis, John Farrar, Barry Gibb, Scott Simon",11:32pm,2017-05-27
Psychic Materials,This War Is More Than Us,Casey Mecija,Casey Mecija,11:35pm,2017-05-27
Something Got Lost Between Here And The Orbit,Walk Out On The Water,Royal Canoe,"Derek Allard, Brendan Berg, Matthew Peters, Michael Jordan, Matthew Schellenberg, Bucky Driedger",11:40pm,2017-05-27
One Colour More,Papusza And The Crows,Wendy Mcneill,Wendy Mcneill,11:44pm,2017-05-27
Underwaterfall (Single),Underwaterfall,Bearcubs,Bearcubs,11:50pm,2017-05-27
Vieux Loup,Rapids,The Acorn,Rolf Klausener,11:54pm,2017-05-27
"A Northern Star, A Perfect Stone",Cavern's Dark,Mappe Of,Mappe Of,11:59pm,2017-05-27
Stretch Your Eyes (Single),Stretch Your Eyes,Agnes Obel,Agnes Obel,10:03pm,2017-05-29
A Taller Us,Driven,Foxtrott,Foxtrott,10:09pm,2017-05-29
Planetarium,Mercury,Sufjan Stevens,"Sufjan Stevens, Bryce Dessner, James Mcalister, Nico Muhly",10:13pm,2017-05-29
Hunter (Single),Hunter,Farao,Farao,10:18pm,2017-05-29
All We Know,All We Know,Paper Beat Scissors,Tim Crabtree,10:24pm,2017-05-29
Like What Ep,Too Long,Tennyson,Luke Tennyson,10:27pm,2017-05-29
Black Messiah,Really Love,D'angelo,"Kendra Foster,D'angelo",10:32pm,2017-05-29
Foreign Life,Little Life,Pony Girl,"Pascal Huot, Julien Dussault, Michel Cousineau, Jeff Kingsbury, Greggory Clark, Yolande Laroche",10:38pm,2017-05-29
Digital Age (Single),Digital Age,Daniela Andrade,Daniela Andrade,10:43pm,2017-05-29
Soulseeker (Single),Soulseeker,Soren Juul,Soren Juul,10:46pm,2017-05-29
For Evelyn,Don't Go,Hannah Georgas,"Hannah Georgas, Ryan Guldemond",10:54pm,2017-05-29
Words I Don't Remember (Single),Words I Don't Remember,How To Dress Well,How To Dress Well,10:58pm,2017-05-29
Christine And The Queens: Chaleur Humaine,Christine,Christine And The Queens,Christine And The Queens,11:05pm,2017-05-29
Asgeir: In The Silence,Soothe This Pain,Asgeir,"Asgeir Trausti Einarsson, Orvar Thoreyjarson Smarason",11:09pm,2017-05-29
The Weight Of Spring,Lantern,The White Birch,Ola Flottum,11:14pm,2017-05-29
Emilie & Ogden: Ten Thousand,Ten Thousand,Emilie & Ogden,Emilie & Ogden,11:19pm,2017-05-29
You Of All Things,Stay Going Nowhere,Jodie Landau,Jodie Landau,11:25pm,2017-05-29
Home Wrecking Years,Sleeping Birds Like Lazers,Brendan Canning,Brendan Canning,11:30pm,2017-05-29
Better Than Me (Single),Better Than Me,Blood Orange,Blood Orange,11:34pm,2017-05-29
Yann Perreau: Le Fantastique Des Astres,Mon Amour Est Un Loup,Yann Perreau,"Tante Blanche, Yann Perreau",11:38pm,2017-05-29
Retribution,Sivulivinivut,Tanya Tagaq,"Jean Martin, Bernard Falaise, Jesse Zubot, Tanya Tagaq",11:42pm,2017-05-29
My Hero (Single),My Hero,Sway Ii Clarke,Sway Ii Clarke,11:44pm,2017-05-29
City Lake,And Then It Rained,Bing & Ruth,David Moore,11:47pm,2017-05-29
A Way (Single),A Way,Best Fern,"Alexia Avina, Nick Schofield",11:52pm,2017-05-29
Isador,2,Isador,"Charles Austin, Joshua Van Tassel, Kyle Cunjak",11:54pm,2017-05-29
Virgins,Black Refraction,Tim Hecker,Tim Hecker,11:58pm,2017-05-29
One Wild Life: Soul,Moon Song,Gungor,"Lisa Gungor, Michael Gungor",10:00pm,2017-05-30
Swim Against The Tide,Swim Against The Tide,The Japanese House,Amber Bain,10:04pm,2017-05-30
Monster,Morning Light,Andrew Judah,Andrew Judah,10:07pm,2017-05-30
This Is My Hand,Lover Killer,My Brightest Diamond,Shara Worden,10:12pm,2017-05-30
Pick Me Up,Hold Me Down,Mansionair,"Alex Nichols, Jack Froggat, Lachlan Bostock",10:16pm,2017-05-30
Punk Shadows,Punk Shadows,Blood And Glass,Lisa Moore Iwanycki,10:23pm,2017-05-30
The Gaits (Single),The Gaits (Feat. Sin Fang),Zoon Van Snook,"Zoon Van Snook, Sindri Mar Sigfusson",10:26pm,2017-05-30
Sun Leads Me On,Turn Your Love,Half Moon Run,"Devon Portielje, Isaac Symonds, Conner Molander, Dylan Phillips",10:31pm,2017-05-30
Deep In The Iris,Taste,Braids,"Raphaelle Preston Standell, Taylor Smith, Austin Tufts",10:34pm,2017-05-30
Quiet Energies,Connect The Lines,Evening Hymns,Jonas Bonnetta,10:40pm,2017-05-30
Home Forever,Home Forever,Ajungi,Thor,10:44pm,2017-05-30
Taste,Pumpkin,Islands,Nick Thorburn,10:49pm,2017-05-30
Epilogue,300 Jours,L'estrade,"Sebastian Michon, Mikael Rondeau, Olivier Guertin, Vincent Yelle, Emile Poulin",10:52pm,2017-05-30
I Go Missing In My Sleep,Heavy Steps,Wilsen,Wilsen,10:57pm,2017-05-30
Living My Life (Single),Living My Life,Deerhunter,"Bradford Cox, Josh Mckay, Moses Archuleta, Lockett Pundt",11:00pm,2017-05-30
Moodoid: Le Monde Moo,La Lune,Moodoid,Pablo Padovani,11:05pm,2017-05-30
Karkwa: Les Chemins De Verre,L'acouphene,Karkwa,,11:11pm,2017-05-30
Trailblazer (Single),Trailblazer,Oh Land,Oh Land,11:15pm,2017-05-30
Cold Creeps (Single),Cold Creeps,Owl John,Owl John,11:20pm,2017-05-30
St. Lucia (Single),St. Lucia,Bernice,"Colin Fisher, Dan Fortin, Felicity Williams, Phil Melanson, Thom Gill, Robin Dann",11:25pm,2017-05-30
Overgrown,Retrograde,James Blake,James Blake,11:29pm,2017-05-30
The Golden Lion Ep,In The Forest,The Besnard Lakes,"Jace Lasek, Olga Goreas, Sheena Ko, Kevin Laing, Robbie Macarthur",11:34pm,2017-05-30
Patience,The Wolf,Georgian Bay,"Joelle Westman, Kelly Lefaive",11:40pm,2017-05-30
Going Places,I Have Sound,Montag,Antoine Bedard,11:43pm,2017-05-30
"Gentlewoman, Ruby Man",Suzanne,"Flo Morrissey, Matthew E. White","Leonard Cohen, Gilbert Langevin",11:48pm,2017-05-30
How To Be Alone (Single),How To Be Alone,Tanya Davis,Tanya Davis,11:53pm,2017-05-30
The Devil's Walk,Escape,Apparat,Apparat,11:57pm,2017-05-30
Stretch Your Eyes (Single),Stretch Your Eyes,Agnes Obel,Agnes Obel,10:03pm,2017-05-31
Ao Grafa Sig I Fonn (Single),Ao Grafa Sig I Fonn,Asgeir,Asgeir,10:08pm,2017-05-31
Crack-Up,3Ww,J Alt,"Joe Newman, Thom Green, Gus Hamilton Unger",10:14pm,2017-05-31
Iii,Go On,Del Bel,"Tyler Belluz, Lisa Conway",10:18pm,2017-05-31
Awake,Arrow,Folly And The Hunter,"Christopher Fox, Nick Vallee, Phil Creamer, Laurie Torres",10:22pm,2017-05-31
The Arp (Radio Edit) (Single),The Arp,Aidan Knight,Aidan Knight,10:26pm,2017-05-31
After The Glow (Single),After The Glow,Jesse Mac Cormack,Jesse Mac Cormack,10:29pm,2017-05-31
Some Kind Of Champion,Trains,Sara Lov,"Dustin O'halloran, Sara Lov",10:33pm,2017-05-31
Vesper 50,Five For Good Intentions,Wild Strawberries,Ken Harrison,10:39pm,2017-05-31
Something Got Lost Between Here And The Orbit,Somersault,Royal Canoe,"Derek Allard, Brendan Berg, David Driedger, Matthew Schellenberg, Matthew Peters, Michael Jordan",10:42pm,2017-05-31
Francois & The Atlas Mountain: Solide Mirage,100 000 000,Francois & The Atlas Mountains,Francois & The Atlas Mountains,10:46pm,2017-05-31
22H22,Retourner En Moi,Ariane Moffatt,Ariane Moffatt,10:52pm,2017-05-31
Come With Me (Guest Version),All This Time & All This Time,"Peder, Jonas Bjerre","Asger Baden, Jonas Bjerre",10:56pm,2017-05-31
Roses,Can't Get Your Love,Coeur De Pirate,Coeur De Pirate,11:00pm,2017-05-31
Go Out Ep,Go Do,"Jonsi, Klive",Jonsi Birgisson,11:06pm,2017-05-31
Now That The Light Is Fading,On + Off,Maggie Rogers,"Nicholas Das, Maggie Rogers",11:09pm,2017-05-31
Fixion,Never Fade,Trentemoller,Trentemoller,11:13pm,2017-05-31
Numb (Single),Numb,These Brittle Bones,These Brittle Bones,11:19pm,2017-05-31
Blood Knowledge (Single),Blood Knowledge,Wild Beasts,"Tom Fleming, Chris Talbot, Ben Little, Hayden Thorpe",11:23pm,2017-05-31
Tales Of A Grass Widow,After The Afterlife,Cocorosie,"Sierra Casady, Gael Rakotondrabe, Bianca Casady",11:27pm,2017-05-31
You & Everyone,Bind & Loose,Boreal Sons,"Evan Acheson, Zach Schultz, Reagan Mclean",11:31pm,2017-05-31
Taking Flight Ep,Angel,Ryan Hemsworth,"Ryan Hemsworth,Lucas",11:37pm,2017-05-31
Young Hymns,Just Enough,Gala,Aley Waterman,11:40pm,2017-05-31
This Cold Escape,Out The Window,Amos The Transparent,"Chris Wilson, James Nicol, Mike Yates, Dan Hay, Olenka Reshitnyk, Jonathan Chandler",11:45pm,2017-05-31
Le Dernier Empereur Bantou,Mami Wata,Pierre Kwenders,Pierre Kwenders,11:48pm,2017-05-31
Fothracha,Crann Dubh,Aidan Warnock,Aidan Warnock,11:53pm,2017-05-31
Everyone Was A Bird,Radar,Grasscut,"Marcus O'dair, Andrew Phillips",10:00pm,2017-06-01
Bones + Longing,Joy,Gemma Hayes,Gemma Hayes,10:04pm,2017-06-01
Dreamsphere,Epic Sweep,Aqua Alta,"Graeme Campbell, Charles Austin, Jenn Grant",10:07pm,2017-06-01
Punk Shadows,Punk Shadows,Blood And Glass,Lisa Moore Iwanycki,10:11pm,2017-06-01
Hard Believer,Looking Too Closely,Fink,"Fin Greenall, Guy Whittaker, Tim Thornton",10:15pm,2017-06-01
Small & Perfect (Single),Small & Perfect,Isis Giraldo,Isis Giraldo,10:21pm,2017-06-01
"22, A Million",8(Circle),Bon Iver,"Michael Lewis, Ryan Olson, Bj Burton, Justin Vernon",10:23pm,2017-06-01
Lavender Scars (Moglii Remix)(Single),Lavender Scars (Moglii Remix),Phebe Starr,"Moglii, Phebe Starr",10:29pm,2017-06-01
My Hero (Single),My Hero,Sway Ii Clarke,Sway Ii Clarke,10:33pm,2017-06-01
Little Bubble (Single),Little Bubble,Dirty Projectors,"Teresa Eggers, David Longstreth",10:37pm,2017-06-01
Monster,Better & Better,Andrew Judah,Andrew Judah,10:41pm,2017-06-01
Plastic 100 Degrees Celsius (Single),Plastic 100 Degrees Celsius,Sampha,Sampha,10:46pm,2017-06-01
Epilogue,Dompter Mes Mirages,L'estrade,"Sebastian Michon, Mikael Rondeau, Olivier Guertin, Vincent Yelle, Emile Poulin",10:51pm,2017-06-01
Born In The Echoes,Radiate,"The Chemical Brothers, Colin Stetson","Tom Rowlands, Colin Stetson, Ed Simons",10:57pm,2017-06-01
We Loved Her Dearly,Palm Trees,Lowell,"Lowell, James Bryan",11:02pm,2017-06-01
Muchacho,Song For Zula,Phosphorescent,Phosphorescent,11:07pm,2017-06-01
The Generation Of Lift,Stockholm,Conner Youngblood,Conner Youngblood,11:13pm,2017-06-01
Intro (Sorry) (Single),Intro (Sorry),Saint Saviour,Saint Saviour,11:16pm,2017-06-01
The Loodies,Dry,The Loodies,Ludovic Alarie,11:22pm,2017-06-01
Foreign Life,Little Life,Pony Girl,"Pascal Huot, Julien Dussault, Michel Cousineau, Jeff Kingsbury, Greggory Clark, Yolande Laroche",11:26pm,2017-06-01
The Air Conditioned Nightmare,Video Hostage,Doldrums,Airick Woodhead,11:30pm,2017-06-01
Weeping Mary (Single),Weeping Mary,Sam Amidon,Sam Amidon,11:36pm,2017-06-01
The Cat With The Cream (Single),The Cat With The Cream,Belle And Sebastian,"Sarah Martin, Stevie Jackson, Bobby Kildea, Richard Colburn, Stuart Murdoch, Chris Geddes",11:39pm,2017-06-01
Marie Pierre Arthur,Qui Sait?,Pierre Arthur Marie,"Daniel Lavoie, Thierry Sechan",11:44pm,2017-06-01
Isador,2,Isador,"Charles Austin, Joshua Van Tassel, Kyle Cunjak",11:51pm,2017-06-01
Kanta's Theme (Single),Kanta's Theme,Chris Walla,Chris Walla,11:54pm,2017-06-01
Javelin,Baby Moses,Jordan Klassen,Jordan Klassen,10:00pm,2017-06-02
No Peace (Single),No Peace,Syd Arthur,"Raven Bush, Josh Magill, Liam Magill, Joel Magill",10:03pm,2017-06-02
No No No,Gibraltar,Beirut,Zach Condon,10:08pm,2017-06-02
Migrations,Migrations,Tend&See,"Faye Mallett, Melissa Bandura",10:12pm,2017-06-02
Everyone Move With Ease (Single),Everyone Move With Ease,Nick Pope,Nick Pope,10:15pm,2017-06-02
Soulseeker (Single),Soulseeker,Soren Juul,Soren Juul,10:21pm,2017-06-02
Everything (Single),Everything,Chantal Acda,Chantal Acda,10:28pm,2017-06-02
Coastline,Sleeping On My Own,Geoffroy,"Geoffroy Sauve,Antoine  Max Gendron",10:32pm,2017-06-02
Another Eternity,Stillness In Woe,Purity Ring,"Corin Roddick, Megan James",10:35pm,2017-06-02
Common Deer I,Damages,Common Deer,"Liam Farrell, Sheila Hart, Connor Farrell, Graham Mclaughlin, Adam Hart",10:40pm,2017-06-02
Foreign Life,Little Life,Pony Girl,"Pascal Huot, Julien Dussault, Michel Cousineau, Jeff Kingsbury, Greggory Clark, Yolande Laroche",10:44pm,2017-06-02
The Arp (Radio Edit) (Single),The Arp,Aidan Knight,Aidan Knight,10:49pm,2017-06-02
Epilogue,300 Jours,L'estrade,"Sebastian Michon, Mikael Rondeau, Olivier Guertin, Vincent Yelle, Emile Poulin",10:52pm,2017-06-02
Go On,Lawless,Paper Beat Scissors,Tim Crabtree,10:57pm,2017-06-02
Foam Island,Foam Island,Darkstar,"Aiden Whalley, James Young",11:02pm,2017-06-02
Lost (Single),Lost,Liza Anne,Liza Anne,11:07pm,2017-06-02
Florence (Single),Florence,"Loyle Carner, Kwes","Loyle Carner,Kwes",11:11pm,2017-06-02
Only (Single),Only,Boots,Boots,11:14pm,2017-06-02
Beck: Morning Phase,Waking Light,Beck,Beck,11:18pm,2017-06-02
Late Night Tales: Jon Hopkins,Connjur,"Jon Hopkins, School Of Seven Bells","Alejandra Deheza, Claudia Deheza, Benjamin Curtis",11:27pm,2017-06-02
Iii,Only Breathing,Del Bel,"Tyler Belluz, Lisa Conway",11:31pm,2017-06-02
Quiet Energies,Connect The Lines,Evening Hymns,Jonas Bonnetta,11:38pm,2017-06-02
Small Town Water Tower,Lucid Love,John Southworth,John Southworth,11:43pm,2017-06-02
Trauma,Great Escape,Coeur De Pirate,Patrick Watson,11:46pm,2017-06-02
Soft Hate,Sarah,Memoryhouse,"Evan Abeele, Denise Nouvion",11:50pm,2017-06-02
The Runcible,Less Talk More Magic,Dirty Inputs,Dirty Inputs,11:54pm,2017-06-02
Liane Carroll: Seaside,Almost Like Being In Love,Liane Carroll,"Frederick Loewe, Alan Jay Lerner",10:01pm,2017-06-03
Strive!,Eddie,Ryan Oliver,Ryan Oliver,10:03pm,2017-06-03
"Sammy Davis, Jr: Greatest Songs",Bye Bye Blackbird,"Sammy,  Jr Davis","Mort Dixon, Ray Henderson",10:10pm,2017-06-03
Cannonbal Adderley/Bill Evans: Know What I Mean?,Waltz For Debby,"Cannonball Adderley, Bill Evans","Bill Evans, Gene Lees",10:13pm,2017-06-03
Cory Weeds With The Tilden Webb Trio: Just Like...,On A Clear Day You Can See Forever,Cory Weeds,"Alan Jay Lerner, Burton Lane",10:19pm,2017-06-03
Maree Jazz- Un Hommage A Fraser,Gone With The Wind,Fraser Macpherson,,10:25pm,2017-06-03
Halie Loren: Heart First,Taking A Chance On Love,Halie Loren,"Vernon Duke, John La Touche, Ted Fetter",10:31pm,2017-06-03
Ben Webster: Ballads,Sophisticated Lady,Ben Webster,Jo(Batt) Jones,10:35pm,2017-06-03
Michael Buble,That's All,Michael Buble,"Bob Haymes, Alan Brandt",10:38pm,2017-06-03
"One Take, Vol. 4",Tenderly,Phil Dwyer,Jack Lawrence,10:42pm,2017-06-03
Sara Gazarek : Yours,Amazing,Sara Gazarek,Joshua Nelson,10:49pm,2017-06-03
"Standard Time, Vol 3 - The Resolution Of Romance",Everything Happens To Me,Wynton Marsalis,"Matt Dennis, Tom Adair",10:54pm,2017-06-03
So There,So There,Ben Folds,Ben Folds,11:00pm,2017-06-03
Big Picture (Single),Big Picture,"London Grammar, Jon Hopkins",Hannah Reid,11:04pm,2017-06-03
Wonder (Single),Wonder,Gungor,"Lisa Gungor, Michael Gungor",11:08pm,2017-06-03
Catching Echoes (Single),Catching Echoes,King Karoshi,"Alexy Guerer, Remi Denis, Antoine Poliquin, Patrick Dunphy",11:13pm,2017-06-03
The Ridge,The Glow,Sarah Neufeld,Sarah Neufeld,11:16pm,2017-06-03
Understudy E.P.,Falling Short,Lapsley,Lapsley,11:22pm,2017-06-03
Morning Phase,Blue Moon,Beck,Beck,11:25pm,2017-06-03
Oczy Mlody,The Castle,The Flaming Lips,"Michael Ivins, Wayne Coyne, Jake Ingalls, Derek Brown, Steven Drozd",11:30pm,2017-06-03
It's Decided,Who Came First,Andy Kim,"Dave Hamelin, Ohad Benchetrit, Andy Kim, Kevin Drew",11:34pm,2017-06-03
Pressure (Single),Pressure,Milk & Bone,"Laurence Beaulne Lafond, Camille Poliquin",11:46pm,2017-06-03
The Sea (Single),The Sea,Ary,Ary,11:50pm,2017-06-03
Beast To Bone,Jealous Guy,The Sands,John Lennon,11:53pm,2017-06-03
You're The One That I Want (Single),You're The One That I Want,Fang Lo,"Louis St. Louis, John Farrar, Barry Gibb, Scott Simon",11:59pm,2017-06-03
Utopia Defeated,Satan,D.D. Dumbo,Oliver Hugh Perry,10:04pm,2017-06-05
Play It On My Radio (Single),Play It On My Radio,Niki & The Dove,"Malin Dahlstrom, Magnus Boqvist, Gustaf Karlof",10:09pm,2017-06-05
Vestiges & Claws,Let It Carry You,Jose Gonzalez,Jose Gonzalez,10:14pm,2017-06-05
Talk To Strangers,Gold,Fiona Bevan,Fiona Bevan,10:19pm,2017-06-05
I Go Missing In My Sleep,Garden,Wilsen,Wilsen,10:24pm,2017-06-05
In Roses,Braid,Gem Club,"Christopher Barnes, Ieva Berberian, Kristen Drymala",10:28pm,2017-06-05
Pleasure,"Get Not High, Get Not Low",Feist,Feist,10:33pm,2017-06-05
Little Love Songs (Familiar Wild Rexmix) (Single),Little Love Songs,Jodi Doidge,Jodi Doidge,10:38pm,2017-06-05
The Cat With The Cream (Single),The Cat With The Cream,Belle And Sebastian,"Sarah Martin, Stevie Jackson, Bobby Kildea, Richard Colburn, Stuart Murdoch, Chris Geddes",10:41pm,2017-06-05
Phase,The Love You're Given (Radio Edit),Jack Garratt,"Lisa Fisher, Jack Garratt, Tom Hammer",10:46pm,2017-06-05
The Air Conditioned Nightmare,Video Hostage,Doldrums,Airick Woodhead,10:50pm,2017-06-05
We Loved Her Dearly,Palm Trees,Lowell,"Lowell, James Bryan",10:56pm,2017-06-05
It's Decided,Who Came First,Andy Kim,"Dave Hamelin, Ohad Benchetrit, Andy Kim, Kevin Drew",11:01pm,2017-06-05
Catching Echoes (Single),Catching Echoes,King Karoshi,"Alexy Guerer, Remi Denis, Antoine Poliquin, Patrick Dunphy",11:06pm,2017-06-05
Instinct (Single),Instinct,These Brittle Bones,These Brittle Bones,11:11pm,2017-06-05
Strip,Thorns & Spades,Dear Criminals,"Frannie Holder, Charles Lavoie, Vincent Legault",11:15pm,2017-06-05
Pierre Kwenders: Popolipo (The Remixes)  Ep,Popolipo (Feat. Sjamsoedin),"Pierre Kwenders, Sjamsoedin","Pierre Kwenders,Samito",11:23pm,2017-06-05
When The Time Is Right,Waves,River Tiber,"Kwikfiks,River Tiber",11:30pm,2017-06-05
Lavender Scars (Moglii Remix)(Single),Lavender Scars (Moglii Remix),Phebe Starr,"Moglii, Phebe Starr",11:36pm,2017-06-05
...Caruso's Brain...,When The City Fell,Selina Martin,Selina Martin,11:40pm,2017-06-05
Maple Mountain Sunburst Triolian Orchestra,Ruby Yacht,"Maple Mountain Suburst Triolian Orchestra, Andy Mcneill, Jim Ameche","Andy Mcneill, Omar Khayam",11:42pm,2017-06-05
Shabbytown,Sweet Light,James Irwin,James Irwin,11:45pm,2017-06-05
Music To Draw To: Satellite,The Observable Universe,Kid Koala,Kid Koala,11:52pm,2017-06-05
Monogrenade: Composite,Portal,Monogrenade,Michel  Jean Pigeon,11:58pm,2017-06-05
Cold Creeps (Single),Cold Creeps,Owl John,Owl John,10:04pm,2017-06-06
Citizen Of Glass,Familiar,Agnes Obel,Agnes Obel,10:08pm,2017-06-06
Fill Your Brains,Fill Your Brains,Harrison Brome,Harrison Brome,10:13pm,2017-06-06
Punk Shadows,Punk Shadows,Blood And Glass,Lisa Moore Iwanycki,10:16pm,2017-06-06
Mememe,Murder Of Crows,Corwin Fox,Corwin Fox,10:21pm,2017-06-06
Higher (Single),Higher,Alejandra Ribera,Alejandra Ribera,10:25pm,2017-06-06
Crack-Up,3Ww,J Alt,"Joe Newman, Thom Green, Gus Hamilton Unger",10:29pm,2017-06-06
Champion Of The Afterworld,Corners,Dan Misha Goldman,Dan Misha Goldman,10:34pm,2017-06-06
Cities Of Glass,Cities Of Glass,"Efterklang,  The Happy Hopeless Orchestra","Mads Brauer, Rasmus Stolberg, Casper Clausen",10:38pm,2017-06-06
Monster,Morning Light,Andrew Judah,Andrew Judah,10:45pm,2017-06-06
Rust & Gold,Isabella,Isaac Delusion,"Loic Fleury, Jules Pacotte, Cedric Laban, Nicolas Bourrigan, Bastien Dodard",10:49pm,2017-06-06
Holy (Single),Holy,"Ryan Hemsworth, Ryan Playground, Swim Good Now","Ryan Hemsworth,Swim Good Now,Ryan Playground",10:54pm,2017-06-06
Oczy Mlody,The Castle,The Flaming Lips,"Michael Ivins, Wayne Coyne, Jake Ingalls, Derek Brown, Steven Drozd",10:58pm,2017-06-06
Taste,Pumpkin,Islands,Nick Thorburn,11:03pm,2017-06-06
Up In Hudson (Single),Up In Hudson,Dirty Projectors,"Mccoll Ewan, David Ginyard, Tyondai Braxton, David Longstreth",11:07pm,2017-06-06
Coastline,Coastline,Geoffroy,"Geoffroy,Antoine  Max Gendron",11:14pm,2017-06-06
Like What Ep,Too Long,Tennyson,Luke Tennyson,11:20pm,2017-06-06
Knife In The Water (Single),Knife In The Water,Memoryhouse,"Evan Abeele, Denise Nouvion",11:23pm,2017-06-06
Follow Your Stupid Heart (Single),Follow Your Stupid Heart,Blocktreat,Blocktreat,11:27pm,2017-06-06
Wonder (Single),Wonder,Gungor,"Lisa Gungor, Michael Gungor",11:32pm,2017-06-06
Trust The Light,Worlds Upon Worlds,Knower,"Genevieve Artadi, Louis Cole",11:36pm,2017-06-06
Unworthy (Single),Unworthy,Vancouver Sleep Clinic,"Alexander Shuckburgh, Tim Bettinson",11:40pm,2017-06-06
No Heavy Loads (Single),No Heavy Loads,Cast,"Jessica Leger, Ben Brown",11:45pm,2017-06-06
Treading Water (Single),Treading Water,Newton Faulkner,Newton Faulkner,11:51pm,2017-06-06
Adventures In Your Own Backyard,Things You Do,Patrick Watson,Patrick Watson,11:56pm,2017-06-06
Young,The Fog,Overcoats,"Jj Mitchell, Hana Elion",10:03pm,2017-06-07
Hard Believer,Looking Too Closely,Fink,"Fin Greenall, Guy Whittaker, Tim Thornton",10:07pm,2017-06-07
The Gentle Ep,"The Blur, The Line And The Thickest Of Onions",Little Comets,"Matthew Hall, Michael Coles, Robert Coles",10:13pm,2017-06-07
It's Decided,Who Came First,Andy Kim,"Dave Hamelin, Ohad Benchetrit, Andy Kim, Kevin Drew",10:16pm,2017-06-07
Morning Dew (Single),Morning Dew,The National,"Bonnie Dobson, Tim Rose",10:23pm,2017-06-07
